total_cost,total_distance,total_fuel_consumed,route
2481257.8089686767,124.86478447956134,11.501183508842962,"['D3', 'R26', 'R11', 'R2', 'R14', 'R17', 'R5', 'R7', 'R1', 'R6', 'R13', 'R28', 'R12', 'R3', 'R10', 'R23', 'R20', 'R70', 'R8', 'R24']"
2482005.7662816406,133.16067304393297,12.37453603958557,"['D3', 'R28', 'R1', 'R7', 'R11', 'R5', 'R26', 'R14', 'R17', 'R2', 'R10', 'R3', 'R12', 'R6', 'R13', 'R23', 'R20', 'R70', 'R24', 'R8']"
2483579.98334808,150.62093331943476,13.943194986570308,"['D3', 'R13', 'R6', 'R1', 'R7', 'R28', 'R5', 'R2', 'R14', 'R17', 'R11', 'R26', 'R3', 'R12', 'R10', 'R20', 'R23', 'R8', 'R70', 'R24']"
2483520.7827821365,149.9643165720531,13.974470929787753,"['D3', 'R26', 'R5', 'R17', 'R14', 'R11', 'R2', 'R12', 'R3', 'R10', 'R7', 'R6', 'R1', 'R20', 'R13', 'R28', 'R23', 'R24', 'R70', 'R8']"
2481956.574674377,132.61506959158618,12.2342552733824,"['D3', 'R5', 'R26', 'R14', 'R17', 'R2', 'R1', 'R7', 'R10', 'R12', 'R3', 'R28', 'R13', 'R6', 'R20', 'R11', 'R23', 'R70', 'R8', 'R24']"
