total_cost,total_distance,total_fuel_consumed,route
2218702.667131706,96.52470199319474,8.460370247872344,"['D6', 'R35', 'R27', 'R36', 'R4', 'R38', 'R21', 'R16', 'R31', 'R18', 'R15', 'R32', 'R22', 'R30', 'R33', 'R37', 'R9', 'R34']"
2216030.706302613,66.88893414610429,5.81257835697671,"['D6', 'R27', 'R36', 'R4', 'R32', 'R15', 'R16', 'R31', 'R18', 'R21', 'R33', 'R37', 'R9', 'R22', 'R38', 'R30', 'R35', 'R34']"
2216134.7298224387,68.04269989395006,5.7873884879486575,"['D6', 'R36', 'R27', 'R30', 'R4', 'R37', 'R33', 'R9', 'R21', 'R16', 'R31', 'R18', 'R32', 'R15', 'R22', 'R35', 'R38', 'R34']"
2217532.6944178753,83.54807473242347,7.415117412582369,"['D6', 'R30', 'R36', 'R27', 'R4', 'R22', 'R38', 'R18', 'R32', 'R15', 'R16', 'R31', 'R9', 'R21', 'R33', 'R37', 'R35', 'R34']"
2217915.0443388717,87.78886799991153,7.739745843006215,"['D6', 'R30', 'R38', 'R27', 'R22', 'R36', 'R35', 'R32', 'R15', 'R18', 'R4', 'R16', 'R9', 'R21', 'R31', 'R37', 'R33', 'R34']"
