Simulation,Distance Traveled,Cost Incurred,Fuel Consumed,Best Route
Simulation_0,105.65060294308819,2479525.4583613486,9.631722928104809,"['D2', 'R17', 'R14', 'R2', 'R11', 'R26', 'R5', 'R7', 'R1', 'R28', 'R6', 'R13', 'R20', 'R23', 'R10', 'R3', 'R12', 'R70', 'R8', 'R24']"
Simulation_1,110.82076690345659,2479991.6003440153,10.160925716612258,"['D2', 'R17', 'R14', 'R2', 'R11', 'R26', 'R5', 'R1', 'R7', 'R28', 'R13', 'R20', 'R6', 'R3', 'R12', 'R10', 'R23', 'R70', 'R8', 'R24']"
Simulation_2,108.12807568771134,2479748.8273040038,9.703284033063529,"['D2', 'R2', 'R14', 'R17', 'R11', 'R26', 'R5', 'R12', 'R3', 'R10', 'R70', 'R23', 'R20', 'R6', 'R7', 'R1', 'R13', 'R28', 'R24', 'R8']"
Simulation_3,114.59295767747642,2480331.701064201,10.517601798058939,"['D2', 'R26', 'R5', 'R11', 'R14', 'R17', 'R2', 'R3', 'R12', 'R10', 'R23', 'R13', 'R20', 'R6', 'R28', 'R7', 'R1', 'R70', 'R8', 'R24']"
Simulation_4,114.50385692687075,2480323.6677405266,10.472614856543268,"['D2', 'R26', 'R5', 'R11', 'R17', 'R14', 'R2', 'R1', 'R7', 'R28', 'R6', 'R13', 'R20', 'R10', 'R12', 'R3', 'R23', 'R70', 'R8', 'R24']"
