Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 1,D2,R5,8.586159368106081,14440,1.0732699210132601,1.373785498896973
1,Truck 1,R5,R11,1.7517546837663514,13990,0.21204261020412582,0.26981693475825186
1,Truck 1,R11,R2,2.5967264225123965,13390,0.30653101705899066,0.3875008282767832
1,Truck 1,R2,R14,0.4746892068479434,12690,0.05424192963144017,0.0677982771167356
1,Truck 1,R14,R17,0.133416822366009,12280,0.014696719802380371,0.018059301075462976
1,Truck 1,R17,R26,2.916698847581569,11820,0.3146611242356411,0.38204865971521784
1,Truck 1,R26,R7,6.1671919989685735,11272,0.6502733022952946,0.7775595672299578
1,Truck 1,R7,R1,1.3018916129604698,10672,0.13366809628194506,0.1565325041204311
1,Truck 1,R1,R28,4.405673281253511,10042,0.43969965414117923,0.5015183494137331
1,Truck 1,R28,R6,3.858918832902526,9430,0.37415344261720873,0.41334680448007644
1,Truck 1,R6,R20,4.906576678531324,8680,0.4629137063838597,0.4935361928378708
1,Truck 1,R20,R13,3.632006506183366,8180,0.3317102873401759,0.33627537571916394
1,Truck 1,R13,R23,9.60770306621258,7560,0.8591602837318988,0.8383041182039349
1,Truck 1,R23,R10,4.787617877801558,6660,0.4173307076186853,0.38607350566591764
1,Truck 1,R10,R3,1.6334859323431203,5880,0.1373600683100505,0.11604284063365526
1,Truck 1,R3,R12,0.7052676315517342,5230,0.05754468273104881,0.04423438585092477
1,Truck 1,R12,R70,7.942574667423964,4580,0.6324041616399992,0.44308976544669154
1,Truck 1,R70,R8,26.790448123208968,4180,2.082806685229266,1.3088026923125022
1,Truck 1,R8,R24,21.32972231198121,3680,1.6345449815046396,0.951021218816869
