Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 1,D3,R1,1.594622912048091,14400,0.19932786400601138,0.25513966592769455
1,Truck 1,R1,R7,1.3018916129604698,13852,0.1572332865894287,0.19997055175072817
1,Truck 1,R7,R28,3.14788787465494,13222,0.36878938829566765,0.46511512362368246
1,Truck 1,R28,R13,4.6238520026076895,12722,0.5236683632507991,0.6521234259037746
1,Truck 1,R13,R6,2.6892581768463204,12110,0.29672717588376857,0.3649359202756148
1,Truck 1,R6,R20,4.906576678531324,11360,0.5248424030376514,0.6337988648214863
1,Truck 1,R20,R23,8.414315703936735,10740,0.8675744814342247,1.0195906815650273
1,Truck 1,R23,R10,4.787617877801558,9840,0.4793369921707607,0.5484695040809465
1,Truck 1,R10,R3,1.6334859323431203,9060,0.15694522793458113,0.1714506834587339
1,Truck 1,R3,R12,0.7052676315517342,8410,0.06547230148085167,0.0681570639131596
1,Truck 1,R12,R70,7.942574667423964,7760,0.717140913810627,0.7125018981657124
1,Truck 1,R70,R14,10.915520696729738,7060,0.9592969911585778,0.9035140331373095
1,Truck 1,R14,R17,0.133416822366009,6650,0.011397951563333723,0.010047176169642917
1,Truck 1,R17,R2,0.4106782600422482,6050,0.034520447748017505,0.029130777912330142
1,Truck 1,R2,R26,3.3253017492064574,5590,0.2730880166334348,0.2145928062154567
1,Truck 1,R26,R5,1.3137752158917912,5030,0.10602371678257314,0.07833603687290787
1,Truck 1,R5,R11,1.7517546837663514,4580,0.13844944547391996,0.09398747796634396
1,Truck 1,R11,R8,17.94017616310233,4180,1.394747809922955,0.8764374061547591
1,Truck 1,R8,R24,21.32972231198121,3680,1.6345449815046396,0.951021218816869
