Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 4,D5,R4,2.302287565427743,14590,0.2877859456784679,0.3683660104684389
1,Truck 4,R4,R27,2.292902998883172,14055,0.2799181654044729,0.3568368507061918
1,Truck 4,R27,R36,0.6502752708018138,13245,0.07703770534318373,0.09748926859860793
1,Truck 4,R36,R32,4.071323554714588,12645,0.46165365174221434,0.575196591810077
1,Truck 4,R32,R15,1.9508310318230264,12045,0.21440059696923028,0.26312808957228984
1,Truck 4,R15,R31,3.260232018683418,11315,0.34760976849167485,0.4188746097604456
1,Truck 4,R31,R18,1.8011112931653726,10565,0.1853058705544126,0.21738212567643936
1,Truck 4,R18,R16,0.5482677706217646,9945,0.05444745975918745,0.06178612263060206
1,Truck 4,R16,R21,1.0609626519667468,9435,0.10241940843389775,0.1125469181206325
1,Truck 4,R21,R9,2.7708997356638365,8835,0.26147963911143124,0.2788633493972085
1,Truck 4,R9,R33,2.3136618878025317,8305,0.2127113990808616,0.21803949630651057
1,Truck 4,R33,R37,0.23350218756434948,7625,0.02099021852075176,0.020685180455700506
1,Truck 4,R37,R22,15.956307574413119,6895,1.3945789577054437,1.2977796827189336
1,Truck 4,R22,R38,2.7407843527955302,6175,0.23261813048877106,0.2015755532002686
1,Truck 4,R38,R35,2.2626537007426815,5545,0.18671327471401578,0.14903345708891796
1,Truck 4,R35,R30,2.2901102240786937,4700,0.18450279754642104,0.13545238605350782
1,Truck 4,R30,R34,15.88465487247272,3990,1.2403426501149966,0.7963506976066324
