total_cost,total_distance,total_fuel_consumed,route
2480140.759111852,112.47514542870618,10.305376242156905,"['D2', 'R17', 'R14', 'R2', 'R11', 'R26', 'R5', 'R1', 'R7', 'R6', 'R20', 'R13', 'R28', 'R3', 'R12', 'R10', 'R23', 'R70', 'R8', 'R24']"
2480664.5804574094,118.28505387544152,10.774923379697535,"['D2', 'R3', 'R12', 'R10', 'R2', 'R17', 'R14', 'R26', 'R11', 'R5', 'R7', 'R1', 'R28', 'R6', 'R13', 'R20', 'R23', 'R70', 'R8', 'R24']"
2481576.383417578,128.3982189172313,11.089550909104833,"['D2', 'R26', 'R11', 'R5', 'R1', 'R28', 'R7', 'R6', 'R13', 'R20', 'R24', 'R23', 'R10', 'R12', 'R3', 'R2', 'R17', 'R14', 'R70', 'R8']"
2481979.19903599,132.86600527939356,12.086659794266266,"['D2', 'R11', 'R26', 'R14', 'R17', 'R2', 'R5', 'R7', 'R1', 'R10', 'R3', 'R12', 'R23', 'R6', 'R28', 'R70', 'R13', 'R20', 'R24', 'R8']"
2481252.2515616273,124.80314509347161,11.548930299781542,"['D2', 'R11', 'R26', 'R5', 'R17', 'R14', 'R2', 'R12', 'R3', 'R10', 'R23', 'R20', 'R13', 'R6', 'R7', 'R1', 'R28', 'R24', 'R70', 'R8']"
