Cluster,Warehouse Cost,Distribution Cost,Outlet Cost,Total Cost
Cluster1,262853.2959694812,391938.4623789388,2479010.361660841,3133802.120009261
Cluster2,264800.90594607126,392576.7074800435,2214244.614012745,2871622.22743886
