Cycle,Vehicle Type,Start Location,End Location,Distance,Load at End,Fuel Consumed,Wear and Tear Cost
1,Truck 1,D3,R7,1.4690210619069823,14452,0.1836276327383728,0.23504336990511718
1,Truck 1,R7,R1,1.3018916129604698,13852,0.15769545361935985,0.20069266763205026
1,Truck 1,R1,R6,4.25080735979128,13240,0.498001424574879,0.628076624510174
1,Truck 1,R6,R28,3.858918832902526,12610,0.43745301158961525,0.5449822437080475
1,Truck 1,R28,R13,4.6238520026076895,12110,0.5072608793908824,0.6219389200307517
1,Truck 1,R13,R20,3.632006506183366,11360,0.388505295534126,0.46915838709205937
1,Truck 1,R20,R23,8.414315703936735,10740,0.8675744814342247,1.0195906815650273
1,Truck 1,R23,R10,4.787617877801558,9840,0.4793369921707607,0.5484695040809465
1,Truck 1,R10,R3,1.6334859323431203,9060,0.15694522793458113,0.1714506834587339
1,Truck 1,R3,R12,0.7052676315517342,8410,0.06547230148085167,0.0681570639131596
1,Truck 1,R12,R17,5.578055192692642,8000,0.5036467097477255,0.5003887378191479
1,Truck 1,R17,R14,0.133416822366009,7300,0.011841729795799616,0.011384902175232768
1,Truck 1,R14,R2,0.4746892068479434,6700,0.04094501496675763,0.036962466239893195
1,Truck 1,R2,R11,2.5967264225123965,6250,0.21870239381070153,0.18557938166221927
1,Truck 1,R11,R26,1.4939698257461405,5790,0.12363888213071508,0.09959798838307603
1,Truck 1,R26,R5,1.3137752158917912,5230,0.10682836362756476,0.08113875733347703
1,Truck 1,R5,R70,14.231598360111317,4580,1.1331491873330313,0.7939334338494101
1,Truck 1,R70,R8,26.790448123208968,4180,2.082806685229266,1.3088026923125022
1,Truck 1,R8,R24,21.32972231198121,3680,1.6345449815046396,0.951021218816869
