total_cost,total_distance,total_fuel_consumed,route
2481183.895286515,124.04497877678762,11.405326984020487,"['D3', 'R7', 'R1', 'R5', 'R26', 'R11', 'R14', 'R17', 'R2', 'R3', 'R12', 'R10', 'R23', 'R24', 'R28', 'R13', 'R6', 'R20', 'R70', 'R8']"
2481115.4976165593,123.28635333362342,11.461926234036756,"['D3', 'R1', 'R7', 'R6', 'R13', 'R20', 'R23', 'R10', 'R12', 'R3', 'R11', 'R17', 'R14', 'R2', 'R5', 'R26', 'R28', 'R24', 'R70', 'R8']"
2480327.9915815303,114.55181434705457,10.392067300702754,"['D3', 'R7', 'R1', 'R6', 'R28', 'R13', 'R20', 'R11', 'R14', 'R17', 'R2', 'R26', 'R5', 'R3', 'R12', 'R10', 'R23', 'R70', 'R8', 'R24']"
2480529.039800304,116.78171916930037,10.78745385479779,"['D3', 'R7', 'R1', 'R6', 'R13', 'R28', 'R26', 'R5', 'R11', 'R17', 'R14', 'R2', 'R12', 'R3', 'R10', 'R23', 'R20', 'R24', 'R8', 'R70']"
2479918.44247868,110.00934426220215,10.053843489365327,"['D3', 'R1', 'R7', 'R28', 'R6', 'R20', 'R13', 'R23', 'R10', 'R12', 'R3', 'R2', 'R14', 'R17', 'R26', 'R11', 'R5', 'R70', 'R8', 'R24']"
