total_cost,total_distance,total_fuel_consumed,route
2480997.620901678,121.97893635402147,11.054589833678058,"['D1', 'R13', 'R20', 'R28', 'R3', 'R12', 'R10', 'R23', 'R6', 'R7', 'R1', 'R11', 'R14', 'R17', 'R2', 'R5', 'R26', 'R24', 'R8', 'R70']"
2480056.626586199,111.54199851595926,10.278759500215527,"['D1', 'R13', 'R6', 'R7', 'R1', 'R26', 'R5', 'R11', 'R2', 'R17', 'R14', 'R10', 'R12', 'R3', 'R23', 'R70', 'R20', 'R28', 'R24', 'R8']"
2481060.350691504,122.67469711073977,11.410951818036608,"['D1', 'R13', 'R6', 'R7', 'R1', 'R17', 'R14', 'R2', 'R11', 'R5', 'R26', 'R12', 'R3', 'R10', 'R23', 'R28', 'R20', 'R24', 'R8', 'R70']"
2480773.2182681356,119.4899985374438,11.0506569418499,"['D1', 'R13', 'R6', 'R1', 'R7', 'R28', 'R26', 'R11', 'R17', 'R14', 'R2', 'R5', 'R3', 'R12', 'R10', 'R23', 'R20', 'R70', 'R8', 'R24']"
2480062.7397459834,111.60980197408986,10.394501263662423,"['D1', 'R13', 'R6', 'R7', 'R1', 'R11', 'R26', 'R5', 'R14', 'R17', 'R2', 'R12', 'R3', 'R10', 'R23', 'R20', 'R28', 'R24', 'R8', 'R70']"
