total_cost,total_distance,total_fuel_consumed,route
3262069.624324073,133.86894769380666,-1.2780289700927059,"['M1', 'R12', 'R3', 'R10', 'R1', 'D3', 'R7', 'R28', 'R25', 'R13', 'D1', 'W2', 'R6', 'R20', 'W1', 'R23', 'R70', 'R14', 'R17', 'R2', 'R11', 'R26', 'R5', 'D2', 'R8', 'R24']"
3262292.2223944347,136.3378703908036,2.915038917636624,"['M1', 'R70', 'R10', 'R3', 'R12', 'R11', 'R17', 'R14', 'R2', 'R26', 'R5', 'R7', 'R1', 'D3', 'R6', 'R13', 'W2', 'R25', 'D1', 'R20', 'R23', 'W1', 'R28', 'D2', 'R8', 'R24']"
3263656.45949909,151.46916037146076,0.44912259767227863,"['M1', 'R12', 'R3', 'R10', 'R2', 'R17', 'R14', 'R11', 'R26', 'R5', 'D3', 'R1', 'R7', 'R6', 'D1', 'R13', 'W2', 'R25', 'R20', 'R28', 'R24', 'R23', 'W1', 'R70', 'D2', 'R8']"
3263762.859131204,152.64928051468712,-3.5682400728691124,"['M1', 'R2', 'R17', 'R14', 'R11', 'R26', 'R5', 'D3', 'R1', 'R7', 'R10', 'R12', 'R3', 'R23', 'R28', 'W2', 'R13', 'R25', 'D1', 'R20', 'R6', 'W1', 'R70', 'D2', 'R8', 'R24']"
3264336.21779646,159.00862684626665,-6.650298176210481,"['M1', 'R12', 'R3', 'R10', 'D3', 'R1', 'R7', 'R11', 'R5', 'R26', 'R14', 'R17', 'R2', 'D2', 'R28', 'W2', 'R13', 'R25', 'D1', 'R20', 'R6', 'R23', 'W1', 'R70', 'R8', 'R24']"
